t=2026-05-14T12:53:10+0800 lvl=info msg="no configuration paths supplied"
t=2026-05-14T12:53:10+0800 lvl=info msg="using configuration at default config path" path=C:\\Users\\Jianl\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-14T12:53:10+0800 lvl=info msg="open config file" path=C:\\Users\\Jianl\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-14T12:53:10+0800 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-14T12:53:10+0800 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-14T12:53:11+0800 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-14T12:53:11+0800 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-14T13:04:11+0800 lvl=info msg="join connections" obj=join id=044e57dee425 l=127.0.0.1:5000 r=49.196.44.137:15026
t=2026-05-14T13:04:38+0800 lvl=info msg="join connections" obj=join id=eb52b121c38e l=127.0.0.1:5000 r=130.95.40.99:59219
t=2026-05-14T13:09:34+0800 lvl=info msg="join connections" obj=join id=96642bd10a4e l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:39+0800 lvl=info msg="join connections" obj=join id=753496fdd315 l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:39+0800 lvl=info msg="join connections" obj=join id=be48af26fa81 l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:39+0800 lvl=info msg="join connections" obj=join id=47c40887d646 l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:39+0800 lvl=info msg="join connections" obj=join id=557ffcfce42a l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:40+0800 lvl=info msg="join connections" obj=join id=43ffbeb818f5 l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:40+0800 lvl=info msg="join connections" obj=join id=d25459ea186a l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:40+0800 lvl=info msg="join connections" obj=join id=c7527ffea8b1 l=127.0.0.1:5000 r=49.196.44.137:14180
